Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m
2.267,-1.117587e-07,59.97614,4.04238,9.21224563983553,4.11885,1.01184782608696,0.004018284,59.97593,6.509077,5.61405716420551,12.91474,1.03845275362319,0.004577637,59.9759,6.211142,5.66767002567252,12.8861,1.03824579710145,-0.0004068017,59.9762,-3.643743,5.36398830184463,-3.214013,1.02163014492754
2.3,0.005239137,59.97623,3.756123,9.21207832372752,3.835188,1.01163130434783,0.006739385,59.97614,6.216866,5.61788691040638,12.63399,1.0383147826087,0.006739385,59.97613,5.913194,5.66767002567252,12.60535,1.03810782608696,0.0009536371,59.97627,-3.918754,5.36654166516439,-3.49476,1.0214231884058
2.333,0.002415888,59.97641,3.447866,9.21286112409,3.549255,1.01149739130435,0.00600189,59.97636,5.918933,5.61788691040638,12.35324,1.0381768115942,0.005569384,59.97633,5.609525,5.67149977187339,12.31886,1.03797014492754,0.007807352,59.97631,-4.205239,5.36909502848414,-3.775522,1.0212852173913
2.367,0.001500584,59.97644,3.175445,9.22377252456244,3.265395,1.01133072463768,0.001500584,59.97645,5.643908,5.62171605904972,12.0725,1.03797014492754,0.001958348,59.97643,5.311589,5.67149977187339,12.03811,1.0377631884058,5.877472e-39,59.97617,-4.474525,5.36909443092661,-4.061993,1.02121623188406
2.4,1.262873e-05,59.97646,2.898978,9.2313615051758,2.983574,1.01113130434783,0.001703873,59.97649,5.368885,5.62554580525059,11.79175,1.03783217391304,0.003331527,59.97651,5.019382,5.67149977187339,11.7631,1.0376252173913,0.0005975738,59.97644,-4.749552,5.36909502848414,-4.342743,1.02107855072464
2.433,0.0008138269,59.97649,2.600019,9.23073406977076,2.704939,1.01099362318841,0.002899244,59.97658,5.111056,5.62171605904972,11.511,1.03769420289855,0.002771951,59.97662,4.73291,5.67149977187339,11.48235,1.03748753623188,0.001678504,59.97674,-5.024561,5.36909502848414,-4.62349,1.02094057971014
2.467,0.001067966,59.97651,2.322894,9.22956883258997,2.428328,1.01082144927536,0.003941953,59.9767,4.841769,5.61788631284885,11.2417,1.03755652173913,0.004526675,59.97675,4.457887,5.67149977187339,11.20733,1.03741855072464,0.001614802,59.97713,-5.282402,5.3716483918039,-4.898514,1.0208715942029
2.5,0.00844337,59.97673,2.072566,9.23132565172409,2.164865,1.01082,0.009485967,59.97696,4.555285,5.62171665660725,10.98387,1.03748753623188,0.007781982,59.97696,4.211505,5.67149977187339,10.9495,1.03734985507246,0.00368759,59.97748,-5.528773,5.37164779424637,-5.162078,1.0208715942029
2.533,0.01804356,59.97724,1.833947,9.22540983219084,1.920058,1.0109631884058,0.01853943,59.9775,4.280272,5.61788631284885,10.73177,1.0376252173913,0.01879368,59.97749,3.982328,5.66767002567252,10.70312,1.03748753623188,0.0112788,59.97826,-5.792327,5.37164779424637,-5.414173,1.02100956521739
2.567,0.03225971,59.9782,1.549246,9.21212612832981,1.686078,1.01108,0.02677917,59.97833,4.033895,5.61405716420551,10.49687,1.03783217391304,0.02700806,59.97832,3.741687,5.66384087702918,10.46248,1.0376252173913,0.02151489,59.97946,-6.050161,5.37420115756612,-5.643363,1.02107855072464
2.6,0.03602363,59.9794,1.299165,9.19954754235254,1.466232,1.01120434782609,0.02876289,59.97929,3.810437,5.60639886691883,10.26767,1.03797014492754,0.0282032,59.97929,3.506768,5.66001113082831,10.2333,1.03783217391304,0.0363541,59.98042,-6.279343,5.37675392332835,-5.866812,1.02121652173913
2.633,0.03299709,59.98051,1.06204,9.18845687462152,1.263847,1.0113684057971,0.02754215,59.98021,3.592721,5.59873877695956,10.06142,1.03817710144928,0.02588913,59.98015,3.283327,5.65235223598409,10.02703,1.03797014492754,0.03470097,59.98167,-6.485607,5.37675392332835,-6.073075,1.02135420289855
2.667,0.04168175,59.98181,0.8351716,9.16963978804555,1.087651,1.01158144927536,0.03504429,59.9813,3.36354,5.59107988211535,9.866607,1.0383147826087,0.03657024,59.98126,3.054133,5.64469334113988,9.837958,1.0381768115942,0.03520969,59.98279,-6.680417,5.37420115756612,-6.256425,1.0214231884058
2.7,0.03091179,59.98309,0.6129885,9.15446182681882,0.9028233,1.01179275362319,0.03245026,59.98249,3.163004,5.58725073347201,9.677533,1.03852173913043,0.03328957,59.98251,2.853596,5.64086359493901,9.64889,1.0383147826087,0.04043587,59.98247,-6.875221,5.37420115756612,-6.445498,1.02149217391304
2.733,5.877472e-39,59.98332,0.3967042,9.15780217340376,0.685244,1.01191043478261,0.006256141,59.98291,2.979656,5.59107988211535,9.465536,1.03859072463768,0.005823746,59.98294,2.670262,5.64469334113988,9.436891,1.03838376811594,0.01351677,59.9821,-7.092941,5.37164779424637,-6.663224,1.02156115942029
2.767,-0.00391636,59.98325,0.1760802,9.17266940471561,0.4522813,1.01196231884058,5.877472e-39,59.98291,2.81349,5.59873937451709,9.247818,1.03859072463768,5.877472e-39,59.98294,2.492637,5.65618198218496,9.213431,1.03845275362319,5.877472e-39,59.98193,-7.310668,5.36909502848414,-6.892405,1.02163014492754
2.8,-0.02602894,59.9825,-0.02791643,9.18324617297203,0.2280576,1.01204086956522,-0.003433228,59.98286,2.653064,5.61022801556217,9.035821,1.03859072463768,-0.003585778,59.98289,2.320747,5.66767002567252,9.001438,1.03838376811594,-0.01533508,59.98167,-7.528392,5.36909502848414,-7.121591,1.02169884057971
