Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m,P005.df,P005.f,P005.ip_a,P005.ip_m,P005.vp_a,P005.vp_m,P006.df,P006.f,P006.ip_a,P006.ip_m,P006.vp_a,P006.vp_m,P007.df,P007.f,P007.ip_a,P007.ip_m,P007.vp_a,P007.vp_m,P008.df,P008.f,P008.ip_a,P008.ip_m,P008.vp_a,P008.vp_m
1,0.0008646492,60.0036,35.04237,5.59873937451709,39.32809,1.03955594202899,5.877472e-39,60.00228,-166.2205,0.0308956913495114,18.89642,0.998978607767946,5.877472e-39,60.001,-12.34987,2.38987823100299,14.47106,1.02408026143791,-0.02123516,60.00356,33.18584,9.19108015217212,30.49448,1.01939391304348,-0.01386008,60.00361,-157.4027,1.77433832574094,27.34182,1.01694173913043,-0.008951817,60.00297,24.56297,5.5758929575257,23.36549,1.03307507246377,0.01,60.002,-9.443954,2.21112656064375,14.57322,1.02325882352941,5.877472e-39,60.001,-74.29135,0.775927255786667,111.2652,1.03615101449275
1.033,-0.005416875,60.00346,35.13978,5.6063982693613,39.37394,1.03962463768116,0.0201416,60.00284,-164.9543,0.0297922738013146,18.93653,0.999170412218614,5.877472e-39,60.001,-12.34987,2.38987823100299,14.2863,1.02374967320261,-0.0158437,60.00285,33.25019,9.20588762773111,30.52953,1.01951623188406,-0.01467386,60.00302,-157.3053,1.77433832574094,27.38193,1.01707971014493,-0.02113343,60.00292,24.58589,5.57589355508323,23.39987,1.03321275362319,0.01,60.002,-10.70995,2.19348790947573,14.3925,1.02299490196078,5.877472e-39,60.001,-75.5297,0.747311420856531,111.1973,1.03626550724638
1.067,5.877472e-39,60.00346,35.20853,5.61022801556217,39.4255,1.03969362318841,0.01457215,60.00337,-166.6388,0.0286888562531177,18.97664,0.999297834755771,5.877472e-39,60.001,-12.34987,2.38987823100299,14.30686,1.02381843137255,5.877472e-39,60.00282,33.32139,9.21727109865115,30.57323,1.0196315942029,5.877472e-39,60.00299,-157.185,1.77689168906069,27.42776,1.01728666666667,-0.0008901022,60.00351,24.62026,5.57334019176347,23.43998,1.03335072463768,5.877472e-39,60.002,-9.443954,2.21112656064375,14.41721,1.0231368627451,5.877472e-39,60.001,-75.5297,0.747311420856531,111.1557,1.03617130434783
1.1,0.008595767,60.00366,35.27156,5.61405716420551,39.47134,1.03969362318841,5.877472e-39,60.00361,-168.6613,0.0286888562531177,19.02247,0.999297834755771,5.877472e-39,60.002,-12.34987,2.38987823100299,14.35173,1.02344248366013,0.007171626,60.00293,33.37114,9.22753713699269,30.61502,1.01968724637681,0.003458653,60.00305,-157.1048,1.77944445482292,27.46787,1.01728666666667,5.877472e-39,60.00353,24.67183,5.57334019176347,23.48581,1.03335072463768,5.877472e-39,60.003,-10.70995,2.19348790947573,14.46216,1.02276248366013,5.877472e-39,60.001,-75.5297,0.747311420856531,111.1368,1.03603855072464
1.133,0.001424155,60.00379,35.32312,5.62171605904972,39.51717,1.03962463768116,-0.02479553,60.00318,-167.8133,0.0286888562531177,19.05686,0.999297834755771,5.877472e-39,60.002,-12.34987,2.38987823100299,14.37653,1.0237308496732,0.000559492,60.00303,33.42078,9.23780317533423,30.64963,1.01965710144928,5.877472e-39,60.00306,-157.0761,1.78199722058515,27.49652,1.01735536231884,0.005315146,60.0034,24.70048,5.57334019176347,23.51446,1.03341971014493,0.01,60.003,-9.443954,2.21112656064375,14.48281,1.02297895424837,5.877472e-39,60.001,-75.5297,0.747311420856531,111.1557,1.03617130434783
1.167,0.0003814744,60.00379,35.36322,5.62171665660725,39.55728,1.03962463768116,5.877472e-39,60.00279,-167.481,0.0286888562531177,19.09123,0.99936154602435,5.877472e-39,60.001,-11.96571,2.34060872942307,14.39277,1.02343450980392,0.002568564,60.00309,33.49153,9.24922847528128,30.68276,1.01972115942029,-0.001627598,60.00303,-157.0303,1.78454998634738,27.52517,1.01742434782609,0.0009155273,60.00351,24.74059,5.57334019176347,23.54884,1.03341971014493,5.877472e-39,60.002,-9.443954,2.21112656064375,14.50735,1.02282862745098,5.877472e-39,60.001,-75.96375,0.769934948889754,111.1631,1.0358284057971
1.2,-0.0029246,60.00373,35.3976,5.62554520769306,39.60312,1.03955594202899,0.01075745,60.003,-168.8275,0.0275854387049209,19.12561,0.999425257292928,5.877472e-39,60.001,-12.34987,2.38987823100299,14.46231,1.02305568627451,-0.0002034567,60.00313,33.54098,9.25380576595044,30.72116,1.01981217391304,-0.003560367,60.00295,-156.9959,1.78454998634738,27.55954,1.01749333333333,0.004806519,60.00333,24.79215,5.5758929575257,23.58322,1.03341971014493,5.877472e-39,60.002,-9.443954,2.21112656064375,14.56872,1.02230666666667,5.877472e-39,60.001,-75.96375,0.769934948889754,111.182,1.03596115942029
1.233,-0.004018159,60.0036,35.43199,5.62937555145146,39.64322,1.03941797101449,-0.008087154,60.00286,-170.6896,0.0275854387049209,19.15998,0.99936154602435,5.877472e-39,60.002,-11.96571,2.34060872942307,14.50743,1.02297516339869,-0.006510434,60.00295,33.56921,9.25724172173996,30.75387,1.01972289855072,-0.004272466,60.00277,-156.9558,1.78710334966713,27.59393,1.01749333333333,-0.004170751,60.0029,24.84946,5.57334019176347,23.61759,1.03335072463768,5.877472e-39,60.003,-9.443954,2.21112656064375,14.59336,1.02230352941176,5.877472e-39,60.001,-75.96375,0.769934948889754,111.2047,1.03592289855072
1.267,-0.003712974,60.00349,35.48928,5.62937495389393,39.67188,1.03934898550725,-0.006942758,60.00251,-170.4547,0.0275854387049209,19.18863,0.999297834755771,5.877472e-39,60.002,-10.76932,2.35714628991196,14.51592,1.02356013071895,-0.003611217,60.00283,33.60454,9.25725367289053,30.78322,1.01966782608696,-0.004094448,60.00266,-156.9271,1.78965611542936,27.62257,1.01749333333333,-0.005467739,60.00222,24.88956,5.57334019176347,23.64624,1.03328173913043,5.877472e-39,60.003,-9.443954,2.21112656064375,14.61404,1.02266745098039,5.877472e-39,60.001,-75.96375,0.769934948889754,111.2273,1.03588434782609
1.3,-0.009587612,60.00323,35.52939,5.62937555145146,39.70052,1.03941797101449,-0.007858286,60.00231,-168.9019,0.0275854387049209,19.21154,0.999297834755771,5.877472e-39,60.002,-11.96571,2.34060872942307,14.57305,1.02281921568627,NaN,NaN,NaN,NaN,NaN,NaN,1.396984e-08,60.00262,-156.9271,1.79220947874911,27.65122,1.01749333333333,-0.003051767,60.00201,24.90103,5.57334019176347,23.66916,1.03335072463768,5.877472e-39,60.003,-9.443954,2.21112656064375,14.6796,1.02222052287582,5.877472e-39,60.001,-75.96375,0.769934948889754,111.2689,1.03597971014493
